FECHA;GROUPAMA ENTREPRISES R;DEU FLOATING RATE NOTES-TFC;PICTET USD SHORT MID TERM;FON/03/CH;ROBECO GLO CR SHT MAT-IH EUR;/03/ch Green Transition Bond;Robeco Climate Bond;JUPITER DYNAMIC BOND;/03/CH INTL-FAMILY BUSINESS;AMU CPR BANCA /03/CH IMP-REUR;Harrris Associates Global Equity;POLEN FOCUS US GROWTH-EUR IN;ROBECO BP US PREMIUM EQ/F;ELEVA EUROPEAN SELECTION;ROBECO SUS EUR STARS EQ-FEUR;ABERDEEN ASIA PAC EQUITY;GQG PARTNERS EM MKT EQ-I EUR;/03/CH NEXT G/01/RATION;NEUBERGER BERMAN UNCORRELATED STRATEGIES;DNCA INVEST ALPHA BONDS
10/03/2024;515,220;103,970;134,300;9,820;100,490;8,620;83,840;12,670;12,520;121,390;145,580;18,140;404,320;209,240;211,970;13,390;16,390;13;9;123
03/03/2024;515,100;103,960;134,030;9,830;100,520;8,610;83,940;12,660;12,550;121,620;144,500;18,130;401,780;210,450;212,940;13,280;16,510;13;9;123
25/02/2024;514,720;103,850;135,230;9,780;100,140;8,500;83,260;12,480;12,620;120,420;145,370;18,420;403,440;208,050;209,950;13,020;16,590;13;9;123
18/02/2024;514,310;103,750;135,130;9,770;99,980;8,460;83,110;12,390;12,660;119,220;145,770;18,300;403,230;207,030;210,310;13,170;16,530;13;9;123
11/02/2024;513,930;103,640;135,720;9,760;99,810;8,480;82,950;12,390;12,590;118,450;144,960;18,020;400,870;205,270;206,930;13,110;16,420;13;9;123
04/02/2024;513,540;103,530;135,780;9,770;99,920;8,480;83,260;12,460;12,550;117,360;142,120;18,290;397,160;202,170;204,450;12,930;16,340;13;9;123
28/01/2024;513,150;103,440;135,740;9,800;100,140;8,590;83,990;12,640;12,500;116,510;142,060;18,050;394,740;198,800;204,730;12,740;15,850;12;9;122
21/01/2024;512,700;103,330;134,930;9,800;100,060;8,490;83,810;12,420;12,490;114,920;142,480;17,820;390,940;198,500;205,600;12,720;15,480;12;9;122
14/01/2024;512,360;103,210;134,510;9,770;99,800;8,470;83,630;12,390;12,090;113,330;138,100;17,470;386,210;193,340;199,960;12,460;15,120;12;9;122
07/01/2024;511,940;103,100;133,930;9,800;100,190;8,530;84,650;12,500;12,230;113,130;138,880;17,250;381,730;194,690;201,040;12,640;15,160;12;9;122
31/12/2023;511,490;102,880;132,530;9,790;100,170;8,510;85,100;12,520;12,170;111,930;141,150;16,580;379,160;197,490;202,260;13,000;14,980;12;9;122
24/12/2023;510,900;102,880;132,530;9,820;100,170;8,640;85,100;12,560;12,290;113,520;141,150;16,990;379,160;197,490;202,260;13,150;14,720;12;9;122
17/12/2023;510,540;102,800;132,740;9,820;100,020;8,610;85,100;12,520;12,250;112,630;140,390;17,010;378,400;197,390;201,820;12,730;14,590;12;9;122
10/12/2023;510,320;102,680;133,590;9,790;99,750;8,570;84,760;12,400;12,160;112,410;141,110;16,810;376,990;196,920;200,860;12,860;14,720;12;9;121
03/12/2023;509,880;102,560;134,730;9,730;98,850;8,420;83,010;12,080;12,120;111,270;138,570;16,560;371,570;194,240;199,860;12,530;14,510;11;9;121
26/11/2023;509,470;102,460;134,060;9,710;98,870;8,300;82,790;11,890;11,970;110,320;136,450;16,550;369,180;191,760;197,210;12,690;14,000;11;9;121
19/11/2023;509,100;102,350;131,830;9,610;97,960;8,200;81,540;11,760;11,960;107,930;133,540;16,280;360,800;188,830;193,750;12,770;13,680;11;9;121
